   phi1     Phi    phi2    area   omega       a       b
 11.008 145.196 152.093  120647 104.447 230.105 166.895
6.63777 102.188 220.056  623142 52.0775 453.232 437.639
162.467   44.69  87.263  105710 9.00608 336.766 99.9167
23.8383 69.9647 246.366  327922 101.337 427.548 244.138
12.7825 145.895 187.072  308120 70.6188 540.748 181.374
161.448 47.6319 215.613 69838.4 34.8777 175.698 126.526
9.45535 100.756 221.794  108319 102.055 295.105 116.836
3.37209 41.8737 310.546 99741.7 5.40743 217.971 145.656
137.125 151.684 180.029 86435.4 87.0362 199.617  137.83
 26.801 77.6292 237.924  149642 81.8677 324.714 146.691
91.1139 96.2961 323.235  307732 96.8289 539.723 181.489
57.4595 118.234  196.63  617642 111.868 537.217 365.964
43.5397 124.114 159.739  166135 106.444 504.809 104.757
 129.52  46.749 330.279  288632 92.6346 312.113 294.363
168.506 51.2005 235.704  364744 107.344 364.935 318.143
162.831 68.8516 204.746  307073 104.987  563.96 173.318
 164.05 48.7853 234.947 96291.9 69.1005 212.091 144.516
27.9505 119.039 276.551  615276 88.3538 626.013 312.851
25.0027 109.329 208.546  119634 64.3039 202.304 188.236
3.88232 117.372  259.68  595977 91.9282  979.67 193.642
 42.685 12.6326 86.2875  120045 154.251 244.488 156.292
160.648 21.5085 218.994  226149 102.257  358.06 201.043
71.7205 149.566 102.935  250300 106.276 313.921 253.799
 142.37 22.5127 301.863  280811 104.451 377.848 236.563
68.4923 73.9396 118.714  268178 117.382 417.994 204.222
49.1379 98.5098 94.9596  570125 103.049 479.628 378.369
34.2288 86.7123 163.549  261423 10.5371  349.45 238.127
12.4243 69.1412  157.95  103411  93.455 218.819 150.428
88.6655 66.0102 223.336  988593 127.547 752.904 417.953
48.6489 98.8499 94.7913  326608 54.3759 423.821 245.298
 136.55 34.2913 177.819  104491 71.4689 309.229 107.559
15.2105  109.58 196.821  753123 110.188 894.132 268.111
52.1652 114.168 112.071  294060 74.3899 480.296 194.885
123.839 22.6009 87.7877  159872 100.678 290.668 175.075
 37.465 98.8966 136.796  194613 98.7642 276.373 224.144
168.943  152.15 167.111  164576 152.508 233.683 224.176
113.794 85.6076 218.045  240894 22.8911 312.088 245.697
5.46032 83.6306 191.952  573398 125.312 695.012 262.611
148.345 31.5059 61.2471  869874 105.071 701.136 394.916
139.023 34.0013 177.096 92882.1 93.6654 304.219 97.1843
149.124 132.736 119.316  157357 0.23976  242.85 206.252
19.7239  137.15  175.74  203014 106.304 376.608 171.588
 115.55  65.311 42.3778  232116 139.292 391.832 188.563
152.573 140.201 160.995 81439.3 23.4662  202.03 128.312
147.503 56.0006 23.2872  462663 98.0802 528.622 278.593
24.6819  133.27 119.095  465059 121.037 541.288 273.483
169.205 109.336 166.046  710811 119.824 603.437 374.949
5.60647 83.1761 190.746  556720 84.2724 568.477 311.727
171.252 132.641 183.619  482950 106.529 559.151 274.931
142.459 33.6893 177.205  292556 87.8408  388.32 239.811
31.9896 131.621 126.223  313403 90.9022 560.575 177.958
134.963 60.7438 94.5166  175122 148.909 284.571 195.885
105.625 32.1184 267.644  509656 140.781 414.568 391.319
146.248 146.951 44.4621  169566 178.062 276.127 195.471
117.456 30.9787 129.159  142642 92.9426 268.086 169.365
177.257 162.561 202.916   89348 106.914  244.45 116.344
26.4799 98.6271 29.9946  214560 108.503 383.378 178.144
165.991 24.2435 106.745  322290 84.6471 489.458 209.595
13.3703 115.887 59.7536  522821 121.691 583.829 285.048
 30.891 117.813 145.724  820848  104.45 680.925  383.72
 128.04  84.441 121.688  528405 68.2217 520.125 323.377
38.7864  96.363 257.227  180467 55.7069 363.908 157.854
15.3992 117.381 61.3439  180496 94.7218 298.677  192.36
123.522 70.4638 168.485  207090 151.526 287.282 229.456
159.998 56.3672 28.9018  135943 78.4003 281.942 153.479
167.087 76.7332 194.609  742865 150.705 584.374  404.64
162.829 74.1685  195.57  348231 82.4963 400.237 276.949
140.772 108.354 272.658 81408.8 78.8526 189.648 136.639
22.9053 73.5871 341.671  307877 10.1994 463.622  211.38
24.5826 54.9536 158.354  122358 94.1968 417.802 93.2208
115.213 86.2777  183.03  166297 75.5908 246.723 214.548
30.7762 77.9649 320.555  405357  146.21  456.84 282.439
167.767 95.3882 293.243  451728 107.733 449.393 319.963
178.168  141.33  60.726  308441 109.671 340.288  288.52
8.21346 89.4055 70.8657  873083 93.9895 714.417 389.004
17.4119 39.2083 298.516  319216 43.3263 364.724 278.593
98.7021 24.5355 37.6937  151696 90.6717 238.268 202.655
171.275 48.2049 106.913  241116 119.598 449.025 170.925
11.5866 68.0945 145.351  134705 94.1434 283.914 151.024
104.403 74.1336 34.2427 62886.3 148.953 146.438 136.695
