    phi1         Phi        phi2        area       omega           a           b
  4.2023     136.549     65.0262      115169     177.353     229.463     159.761
 143.857     65.6418      163.71      340160     176.571     438.129     247.133
 134.152      19.742     122.741      263921      77.976     340.735     246.552
 157.307     28.8233     21.6677      145552     109.906     283.132     163.636
  130.55     22.2065     137.791      221239     77.8227     319.649     220.312
 23.4401     155.825     150.475      477085     107.214     538.303     282.111
 5.87125     103.507     42.5205      704932      93.745     581.837     385.652
 51.7334     139.272     46.5992      275793     88.0993     494.668     177.468
 137.972     126.449     120.157      711786     68.0805     648.498     349.374
 48.2602     148.896     43.6566     79280.2     140.532     207.424     121.662
 155.408     36.0014     47.7701      868630     87.5797     817.345     338.282
 146.124     51.8043      68.108      799427     122.153     576.135     441.677
 165.322     78.3248     29.4644      412191     137.994     569.807     230.261
 15.5674     160.015     121.195     93052.6     121.387     226.381     130.839
 13.2796     118.623     22.1946      485291     51.0068     460.256     335.624
 119.336     75.4023     113.233      207836     107.904     318.367     207.799
 178.221     67.7481     120.788      117350     77.9119     212.477     175.801
  19.704     142.312     107.578      308133     95.6955      409.41     239.569
 9.34921     110.371     128.464      663206     84.8535     648.462     325.547
 163.079     71.9676     41.8307      242215     89.6754     453.238     170.108
 162.539     35.3131     92.0454      622531     74.7429     630.336     314.368
 3.23845     133.469     30.9224      177630     74.0012     303.189     186.489
 179.427     39.5469     113.045      277073     62.8219     382.899     230.335
 133.522     153.072     176.047      491317     82.4081     616.767     253.566
 21.2957     101.426     49.0459      589718     97.8406     499.673     375.672
 146.134     75.5085     22.6134      197949     98.7341     255.421     246.687
 163.871     72.9226     41.8779      523301      37.762      469.64      354.68
 125.771     154.129     125.748      774985     171.909     525.863     469.106
 160.542     165.345     41.0449 1.10882e+06     100.238     628.516     561.559
   145.7     72.3649     44.1245 1.05532e+06     106.937     712.843     471.239
 137.061     65.5394     137.533      812419     53.2807      548.07     471.839
 12.3225      97.122     135.553      697901     101.049     688.392     322.707
 100.122     96.3445     108.193      183181     55.7565     276.515     210.868
  43.642     90.7756     94.9946      144848     93.3113     271.867     169.592
 180.805      173.97     26.6532 1.55473e+06     91.4787     1141.71     433.459
 128.414     62.5569     125.994      150697     128.657     243.963     196.621
 171.276     80.3397     113.862 1.46075e+06     69.3082     1209.73     384.359
 107.035     144.544     172.377      210166     80.0086     343.599     194.697
 156.781     134.926     65.6563      735723     62.8914      705.52     331.937
 90.2195     132.727     128.817      499867     24.3458     448.981     354.386
 159.454     21.5432     40.0004      455791     110.576      432.13     335.738
 96.2425     58.5355     78.0261       85355     96.5664     254.643     106.696
 82.1966     62.9975      134.54      240781     113.099     364.115     210.492
