    phi1         Phi        phi2        area       omega           a           b
   140.1     48.1686     157.855       85356     177.047     263.951     102.935
 156.296     117.102     92.3821      178238    0.244368     364.628     155.596
 25.2664     60.9875     60.0156     76745.2     100.294     169.707     143.947
 9.66625     26.8494     99.1862      252880     173.134      403.67     199.406
 16.4538     95.9313     71.8478      143074     29.5424     224.328     203.014
 21.1231      69.133     86.2399      360752     171.805     443.298     259.038
  157.44     19.7907     136.046     82479.3     87.7081     226.339     115.994
 16.4466     51.1521     55.2323      263990     157.031      340.24     246.974
 4.84824     149.083       83.19      390074      130.94     380.044      326.71
 12.4772     69.6449       66.29      538523     175.889     548.027      312.79
 149.448      31.252     138.696     84811.1     115.231     189.315     142.599
 14.3924     82.7681     61.5797      743337     163.467     625.572     378.232
  96.515     36.6291     1.64183      154403     88.6002     290.871     168.968
 42.5513     91.5887      58.517      819136       172.6     790.911      329.67
 67.0634     95.7113     52.3223      226636     105.472     411.569     175.282
 19.0603     96.8453     71.7686      372607     100.708     413.145     287.077
 179.585      135.33     89.7968      468648     84.8292     470.835     316.832
 16.5991     61.0151     66.0823      216765     25.2282     301.784     228.636
 7.61621     83.9651     36.9672      152317     74.5861      357.86     135.483
 64.6521     102.724     42.9547 1.76591e+06     172.655     1017.13     552.638
 25.2216     101.991     69.2289 1.47632e+06      150.12     796.956     589.652
  11.812     121.951     62.6196 1.37966e+06     158.278     696.827     630.229
  122.59     17.3765     155.064 2.10314e+06     3.71205     971.711     688.938
 19.3294     83.2481     76.3154      743611     90.6235     620.905     381.216
 76.1361     92.4447     62.7378      194944     131.399      307.99     201.476
 35.9352     105.719     69.2217      750630     178.037     801.891     297.962
 16.4462     69.3091     74.0129      158214     151.154     293.496      171.59
 53.4248     115.136     35.2865 1.13751e+06     4.88097     849.588     426.186
 66.7259     105.579      80.663      170624     64.9046     302.444     179.575
 84.5844     106.823      98.745 4.73977e+06     179.459     1634.63     922.972
 151.698     157.494     55.4782      830605     96.3089      816.36     323.864
 177.627     49.6193     99.4342      816180     80.1069     694.346     374.162
 35.1202     28.0259      63.671      267665     79.6649     493.704     172.574
 167.199      88.685     80.4814 1.93461e+06     88.6401      966.08     637.427
 14.7171     78.1309     69.5979 3.94425e+06     175.469     1439.96     871.893
 60.0046     105.473     31.5843      335509     65.3053     370.019     288.623
 16.5881     144.678     93.3463 1.02592e+06     94.0135     909.702     358.975
 78.7733     97.3375     52.1661      771755     96.3036     718.392     341.954
 166.624      21.146     113.674 1.78484e+06     101.127     1067.68     532.118
 67.4833     104.867     28.6082     85480.5     59.4244     180.602     150.659
 4.92228     123.071     64.8361      372939     70.0776     396.303     299.544
 174.796     73.6105     98.1221      647207     79.8559     515.376     399.732
 90.3095     90.1193     70.6635      231310     124.679     356.936     206.278
 2.47248     95.4382      83.842     75288.4     66.7883     183.714     130.448
 99.5387     102.056     3.63489      181785     5.78926     314.857     183.778
 170.036     142.112     73.3173      196111     102.224     287.939     216.797
 29.4078     110.794     85.3754 1.03514e+06     118.326     836.764     393.773
 7.46548     125.688     86.6484      240054     68.0041     302.832     252.323
 70.2448     168.705     159.935 3.07955e+06     82.8499     1255.53     780.749
 84.1335       137.5     112.833 6.65071e+06     160.452     1710.42      1237.7
 118.191     89.0943     33.1948 4.46687e+06      9.3404     1642.52     865.651
 3.43319     39.6642      69.452      178330     142.658     417.019     136.119
 178.505     75.4073     112.205      365166     175.402     487.098     238.629
 174.841     54.0631     108.543      271382     79.9119     443.881      194.61
 95.7829     42.2985     5.47559 1.27382e+06     112.458     770.597     526.175
 166.424     102.861     76.1823      609281     106.132     500.598     387.417
 160.295     156.617     78.7748 3.94635e+06     90.3105     1468.45     855.433
  146.21     57.5548     115.766 2.10404e+06     66.7532     995.314     672.889
 110.479     22.4916     165.371      599785     114.733     635.193     300.566
 155.054      33.231     131.457 3.99048e+06     110.117      1649.8     769.916
 169.213     103.219     79.2382     83077.9     64.3563     188.977     139.935
 171.113     85.7475     127.652 1.05053e+06     88.5142     1039.77     321.605
 177.748     106.096     103.084 1.68874e+06     91.6696     890.667     603.527
 1.71384     132.998     77.4858      274810     50.4516     307.972     284.035
 30.9387     87.6736      87.242      492785     5.71579     446.772     351.093
 18.9679     75.2616     83.3264 1.63602e+06     100.324     1199.03     434.318
 152.099     9.32037      110.78      605337     94.5606     644.075     299.165
 59.3691     30.8072     35.1861      366443     58.3664     397.845     293.186
 24.8754     95.0779     82.3442 3.87419e+06     138.106     1417.49     869.986
 14.1756     101.185     65.7768      104626     78.7388     223.619      148.93
 13.0215      89.818     83.7314 2.01547e+06     113.723     1249.93     513.263
 28.0572        50.4     65.0082      400853     35.1741     406.827     313.636
 26.7917     57.7818     72.1686 3.41683e+06     122.714     1637.79     664.073
 15.5191     65.3185     87.5335 1.48617e+06     110.597     1122.18     421.558
 28.5504     36.2702      66.703  1.3501e+06     97.0711     1150.64     373.487
 132.622     25.5033     150.705 5.70546e+06     102.001      1704.7     1065.35
 153.226     120.421     85.2364      820872     131.626     598.958     436.244
 178.847     166.859     84.5339      699355     106.635     607.438     366.477
 8.59155     134.593     83.9356      201489     168.191     342.069     187.494
 22.6739     103.022     82.9956      281671     149.001     316.998     282.836
 49.1598     115.679     68.2387 1.53726e+06     21.1897     815.429     600.082
 33.8764     42.8906     70.4472      250869     135.069      325.84     245.072
 45.7821     80.9363     58.5885      369078     134.777     467.059     251.534
 161.763     131.457     87.2514      100651     134.235     250.023     128.142
